"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1300029","Alvarães (AM)","..","","22","Mil litros","..","","22","Mil litros","..","","23","Mil litros","..","","21","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1300060","Amaturá (AM)","..","","7","Mil litros","..","","7","Mil litros","..","","8","Mil litros","..","","6","Mil litros","..","","4","Mil litros","..","","111","Mil litros","..","","252","Mil litros","..","","258","Mil litros","..","","100","Mil litros","..","","100","Mil litros","..","","77","Mil litros","..","","63","Mil litros","..","","64","Mil litros","..","","7","Mil litros","..","","3","Mil litros","..","","2","Mil litros","..","","2","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1300086","Anamã (AM)","..","","13","Mil litros","..","","13","Mil litros","..","","14","Mil litros","..","","21","Mil litros","..","","22","Mil litros","..","","25","Mil litros","..","","15","Mil litros","..","","30","Mil litros","..","","29","Mil litros","..","","21","Mil litros","..","","19","Mil litros","..","","18","Mil litros","..","","19","Mil litros","..","","21","Mil litros","..","","22","Mil litros","..","","20","Mil litros","..","","21","Mil litros","..","","20","Mil litros","..","","22","Mil litros","..","","25","Mil litros","..","","24","Mil litros"
"MU","1300102","Anori (AM)","..","","57","Mil litros","..","","57","Mil litros","..","","60","Mil litros","..","","56","Mil litros","..","","60","Mil litros","..","","61","Mil litros","..","","119","Mil litros","..","","220","Mil litros","..","","150","Mil litros","..","","115","Mil litros","..","","120","Mil litros","..","","110","Mil litros","..","","121","Mil litros","..","","41","Mil litros","..","","45","Mil litros","..","","40","Mil litros","..","","45","Mil litros","..","","50","Mil litros","..","","52","Mil litros","..","","60","Mil litros","..","","70","Mil litros"
"MU","1300144","Apuí (AM)","..","","1230","Mil litros","..","","1721","Mil litros","..","","1773","Mil litros","..","","875","Mil litros","..","","2245","Mil litros","..","","2274","Mil litros","..","","6188","Mil litros","..","","5930","Mil litros","..","","4650","Mil litros","..","","6530","Mil litros","..","","7500","Mil litros","..","","7500","Mil litros","..","","6500","Mil litros","..","","5500","Mil litros","..","","5670","Mil litros","..","","5850","Mil litros","..","","5990","Mil litros","..","","5500","Mil litros","..","","4956","Mil litros","..","","5000","Mil litros","..","","6700","Mil litros"
"MU","1300201","Atalaia do Norte (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","8","Mil litros","..","","8","Mil litros","..","","-","Mil litros","..","","4","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1300300","Autazes (AM)","..","","8809","Mil litros","..","","9156","Mil litros","..","","9430","Mil litros","..","","4247","Mil litros","..","","9782","Mil litros","..","","9910","Mil litros","..","","8285","Mil litros","..","","7400","Mil litros","..","","9813","Mil litros","..","","8533","Mil litros","..","","8181","Mil litros","..","","9550","Mil litros","..","","10505","Mil litros","..","","9508","Mil litros","..","","11340","Mil litros","..","","10950","Mil litros","..","","11000","Mil litros","..","","12000","Mil litros","..","","13000","Mil litros","..","","12400","Mil litros","..","","10531","Mil litros"
"MU","1300409","Barcelos (AM)","..","","13","Mil litros","..","","13","Mil litros","..","","14","Mil litros","..","","14","Mil litros","..","","15","Mil litros","..","","20","Mil litros","..","","15","Mil litros","..","","15","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1300508","Barreirinha (AM)","..","","1406","Mil litros","..","","1406","Mil litros","..","","1455","Mil litros","..","","809","Mil litros","..","","986","Mil litros","..","","999","Mil litros","..","","1348","Mil litros","..","","1600","Mil litros","..","","2640","Mil litros","..","","2938","Mil litros","..","","2644","Mil litros","..","","1080","Mil litros","..","","1296","Mil litros","..","","1350","Mil litros","..","","1390","Mil litros","..","","1400","Mil litros","..","","1458","Mil litros","..","","1420","Mil litros","..","","1250","Mil litros","..","","1520","Mil litros","..","","1800","Mil litros"
"MU","1300607","Benjamin Constant (AM)","..","","44","Mil litros","..","","44","Mil litros","..","","46","Mil litros","..","","15","Mil litros","..","","35","Mil litros","..","","36","Mil litros","..","","36","Mil litros","..","","33","Mil litros","..","","21","Mil litros","..","","21","Mil litros","..","","17","Mil litros","..","","18","Mil litros","..","","16","Mil litros","..","","7","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
